school_code,school_name,major_group_code,province,year,batch,subject_type,plan_count,admission_count,min_admission_score,min_admission_rank
10001,北京大学,202,广东省,2023,本科批,历史类,24,24,670,31
10002,中国人民大学,201,广东省,2023,本科批,历史类,53,53,653,149
10003,清华大学,"院
201",广东省,2023,本科批,历史类,3,3,674,14
10004,北京交通大学,201,广东省,2023,本科批,历史类,2,2,598,3640
10004,北京交通大学,202,广东省,2023,本科批,历史类,9,9,602,3143
10006,"试
北京航空航天大学",201,广东省,2023,本科批,历史类,7,7,626,999
10007,北京理工大学,201,广东省,2023,本科批,历史类,12,12,613,1910
10010,"考
北京化工大学",201,广东省,2023,本科批,历史类,13,13,584,5950
10012,北京服装学院,201,广东省,2023,本科批,历史类,4,4,531,23040
10015,北京印刷学院,201,广东省,2023,本科批,历史类,2,2,540,19058
10019,"育
中国农业大学(中外合作办学)",205,广东省,2023,本科批,历史类,6,6,596,3919
10022,北京林业大学,201,广东省,2023,本科批,历史类,22,22,577,7400
10022,北京林业大学,202,广东省,2023,本科批,历史类,3,3,592,4588
10026,"教
北京中医药大学",201,广东省,2023,本科批,历史类,4,4,581,6509
10027,北京师范大学,201,广东省,2023,本科批,历史类,17,17,642,390
10027,"省
北京师范大学",208,广东省,2023,本科批,历史类,2,2,635,629
10028,首都师范大学,201,广东省,2023,本科批,历史类,2,2,588,5109
10028,首都师范大学,202,广东省,2023,本科批,历史类,4,4,588,5106
10030,北京外国语大学,202,广东省,2023,本科批,历史类,18,18,608,2441
10030,北京外国语大学,203,广东省,2023,本科批,历史类,3,3,620,1359
10031,北京第二外国语学院,202,广东省,2023,本科批,历史类,14,14,561,11480
10031,北京第二外国语学院,"教
203",广东省,2023,本科批,历史类,3,3,580,6730
10032,北京语言大学,201,广东省,2023,本科批,历史类,4,4,581,6480
10032,北京语言大学,202,广东省,2023,本科批,历史类,8,8,579,7001
10032,"省
北京语言大学",203,广东省,2023,本科批,历史类,1,1,603,3011
10033,中国传媒大学,202,广东省,2023,本科批,历史类,18,18,603,2913
10033,中国传媒大学(中外合作办学),204,广东省,2023,本科批,历史类,4,4,605,2720
10034,"东
中央财经大学",202,广东省,2023,本科批,历史类,34,34,614,1806
10036,对外经济贸易大学,201,广东省,2023,本科批,历史类,38,38,613,1904
10037,北京物资学院,201,广东省,2023,本科批,历史类,2,2,531,23015
10038,"广
首都经济贸易大学",201,广东省,2023,本科批,历史类,4,4,574,8105
10043,北京体育大学,201,广东省,2023,本科批,历史类,8,8,573,8334
10043,北京体育大学(中外合作办学),208,广东省,2023,本科批,历史类,4,4,501,39343
10043,北京体育大学,211,广东省,2023,本科批,历史类,3,3,571,8867
10047,中央美术学院,201,广东省,2023,本科批,历史类,1,1,606,2645
10048,中央戏剧学院,201,广东省,2023,本科批,历史类,18,18,572,8502
10049,中国戏曲学院,201,广东省,2023,本科批,历史类,5,5,557,12737
10052,中央民族大学,201,广东省,2023,本科批,历史类,2,2,604,2871
10052,中央民族大学,202,广东省,2023,本科批,历史类,29,29,604,2858
10053,中国政法大学,202,广东省,2023,本科批,历史类,2,2,608,2416
10053,中国政法大学,203,广东省,2023,本科批,历史类,53,53,621,1334
10053,中国政法大学,204,广东省,2023,本科批,历史类,8,8,613,1962
10054,华北电力大学(北京),201,广东省,2023,本科批,历史类,2,2,589,5050
10054,华北电力大学(北京),202,广东省,2023,本科批,历史类,6,6,585,5821
10055,南开大学,"院
201",广东省,2023,本科批,历史类,28,31,630,846
10057,天津科技大学,201,广东省,2023,本科批,历史类,6,6,531,22870
10057,天津科技大学(中外合作办学),206,广东省,2023,本科批,历史类,2,2,531,22911
10059,"试
中国民航大学",201,广东省,2023,本科批,历史类,8,8,549,15455
10059,中国民航大学,203,广东省,2023,本科批,历史类,1,1,547,16297
10063,"考
天津中医药大学",201,广东省,2023,本科批,历史类,1,1,553,14244
10063,天津中医药大学,202,广东省,2023,本科批,历史类,4,4,574,8090
10063,天津中医药大学,207,广东省,2023,本科批,历史类,2,2,548,16032
10065,"育
天津师范大学",201,广东省,2023,本科批,历史类,19,19,564,10687
10068,天津外国语大学,201,广东省,2023,本科批,历史类,13,13,527,24950
10068,天津外国语大学,202,广东省,2023,本科批,历史类,2,2,509,34526
10068,"教
天津外国语大学",203,广东省,2023,本科批,历史类,3,3,554,13745
10069,天津商业大学,201,广东省,2023,本科批,历史类,3,3,521,27812
10069,"省
天津商业大学",202,广东省,2023,本科批,历史类,29,29,522,27257
10069,天津商业大学(中外合作办学),204,广东省,2023,本科批,历史类,4,4,505,36396
10070,天津财经大学,201,广东省,2023,本科批,历史类,16,16,544,17497
10071,天津体育学院,201,广东省,2023,本科批,历史类,4,4,498,41075
10077,河北地质大学,201,广东省,2023,本科批,历史类,6,6,506,36224
10081,华北理工大学,201,广东省,2023,本科批,历史类,3,3,482,52365
10081,华北理工大学,"教
202",广东省,2023,本科批,历史类,3,3,533,21923
10081,华北理工大学,203,广东省,2023,本科批,历史类,3,3,534,21555
10081,华北理工大学,209,广东省,2023,本科批,历史类,3,3,527,24933
10089,"省
河北医科大学",201,广东省,2023,本科批,历史类,4,4,521,27789
10094,河北师范大学,201,广东省,2023,本科批,历史类,1,1,550,15268
10094,河北师范大学,202,广东省,2023,本科批,历史类,2,2,561,11450
10101,"东
衡水学院",201,广东省,2023,本科批,历史类,2,2,491,45939
10103,邯郸学院,201,广东省,2023,本科批,历史类,5,5,490,46564
10104,邢台学院,201,广东省,2023,本科批,历史类,8,8,493,44237
10105,"广
沧州师范学院",201,广东省,2023,本科批,历史类,2,2,497,41987
10105,沧州师范学院,202,广东省,2023,本科批,历史类,5,5,495,42956
10107,石家庄铁道大学,201,广东省,2023,本科批,历史类,3,3,507,35507
10108,山西大学,201,广东省,2023,本科批,历史类,2,2,550,15257
10108,山西大学,202,广东省,2023,本科批,历史类,4,4,564,10832
10108,山西大学,203,广东省,2023,本科批,历史类,3,3,558,12567
10108,山西大学,206,广东省,2023,本科批,历史类,1,1,577,7401
