school_code,school_name,major_group_code,province,year,batch,subject_type,plan_count,admission_count,min_admission_score,min_admission_rank
10001,北京大学,203,广东省,2023,本科批,物理类,24,30,694,84
10002,中国人民大学,202,广东省,2023,本科批,物理类,50,50,670,1016
10003,清华大学,"院
202",广东省,2023,本科批,物理类,52,52,693,92
10003,清华大学,203,广东省,2023,本科批,物理类,7,7,694,79
10004,北京交通大学,204,广东省,2023,本科批,物理类,89,89,623,13418
10004,"试
北京交通大学(中外合作办学)",206,广东省,2023,本科批,物理类,6,6,614,17929
10004,北京交通大学(中外合作办学),208,广东省,2023,本科批,物理类,2,2,614,17975
10004,"考
北京交通大学",209,广东省,2023,本科批,物理类,7,7,635,8412
10005,北京工业大学,201,广东省,2023,本科批,物理类,9,9,614,17633
10006,北京航空航天大学,202,广东省,2023,本科批,物理类,108,108,666,1394
10006,"育
北京航空航天大学(中外合作办学)",204,广东省,2023,本科批,物理类,8,8,649,4191
10007,北京理工大学,202,广东省,2023,本科批,物理类,67,67,658,2454
10007,北京理工大学(中外合作办学),204,广东省,2023,本科批,物理类,5,5,640,6760
10007,"教
北京理工大学(中外合作办学)",205,广东省,2023,本科批,物理类,4,4,627,11655
10008,北京科技大学,201,广东省,2023,本科批,物理类,27,27,619,15364
10008,"省
北京科技大学",202,广东省,2023,本科批,物理类,2,2,620,14606
10008,北京科技大学,203,广东省,2023,本科批,物理类,42,42,619,15368
10010,北京化工大学,202,广东省,2023,本科批,物理类,60,60,609,20801
10010,北京化工大学(中外合作办学),205,广东省,2023,本科批,物理类,8,8,592,33166
10010,北京化工大学(中外合作办学),206,广东省,2023,本科批,物理类,9,9,591,33232
10011,北京工商大学,202,广东省,2023,本科批,物理类,5,5,568,55020
10011,北京工商大学,"教
203",广东省,2023,本科批,物理类,11,11,554,70446
10012,北京服装学院,202,广东省,2023,本科批,物理类,2,2,538,89335
10012,北京服装学院,203,广东省,2023,本科批,物理类,8,8,525,106396
10013,"省
北京邮电大学",201,广东省,2023,本科批,物理类,107,107,636,7885
10013,北京邮电大学,204,广东省,2023,本科批,物理类,8,8,658,2512
10015,北京印刷学院,202,广东省,2023,本科批,物理类,3,3,540,86695
10015,"东
北京印刷学院",203,广东省,2023,本科批,物理类,4,4,532,96757
10016,北京建筑大学,201,广东省,2023,本科批,物理类,8,8,584,39945
10017,北京石油化工学院,201,广东省,2023,本科批,物理类,9,9,544,82144
10017,"广
北京石油化工学院",202,广东省,2023,本科批,物理类,1,1,547,77636
10017,北京石油化工学院,203,广东省,2023,本科批,物理类,3,3,542,84580
10017,北京石油化工学院,204,广东省,2023,本科批,物理类,1,1,541,85062
10019,中国农业大学,202,广东省,2023,本科批,物理类,43,43,622,13920
10019,中国农业大学,203,广东省,2023,本科批,物理类,18,18,630,10331
10019,中国农业大学,204,广东省,2023,本科批,物理类,17,17,620,14997
10019,中国农业大学(中外合作办学),206,广东省,2023,本科批,物理类,7,7,606,23026
10022,北京林业大学,204,广东省,2023,本科批,物理类,14,14,590,34609
10022,北京林业大学,205,广东省,2023,本科批,物理类,4,4,596,29833
10022,北京林业大学(中外合作办学),208,广东省,2023,本科批,物理类,3,3,593,32414
10026,北京中医药大学,202,广东省,2023,本科批,物理类,2,2,592,33109
10026,北京中医药大学,203,广东省,2023,本科批,物理类,27,28,594,31385
10027,北京师范大学,202,广东省,2023,本科批,物理类,12,12,651,3652
10027,北京师范大学,203,广东省,2023,本科批,物理类,14,14,659,2303
