school_code,major_group_code,major_code,major_name,province,year,plan_count,tuition,duration,subject_requirement,is_sino_foreign,is_normal_major,is_medical_major,single_subject_limit,physical_limit,remark
10001,203,071101,心理学,广东省,2024,8,8000,4,"物理,化学",0,0,0,,,
10002,202,100201,临床医学,广东省,2024,11,8000,4,"物理,化学",0,0,1,,,
10002,202,120203,会计学,广东省,2024,2,5000,4,物理,0,0,0,,,
10002,203,100201,临床医学,广东省,2024,14,8000,4,"物理,化学",0,0,1,,,
10003,202,020301,金融学,广东省,2024,7,12000,4,物理,0,0,0,,,
10003,202,080201,机械工程,广东省,2024,6,4500,4,"物理,化学",0,0,0,,,
10003,202,030101,法学,广东省,2024,11,6500,4,物理,0,0,0,,,
10003,203,020301,金融学,广东省,2024,10,5000,4,物理,0,0,0,,,
10003,203,080902,软件工程,广东省,2024,3,8000,4,"物理,化学",0,0,0,,,
10003,203,080201,机械工程,广东省,2024,10,4500,4,"物理,化学",0,0,0,,,
10004,"院
202",080601,电气工程及其自动化,广东省,2024,7,5000,4,"物理,化学",0,0,0,,,
10004,204,081001,土木工程,广东省,2024,6,4500,4,"物理,化学",0,0,0,,,
10004,204,071101,心理学,广东省,2024,8,8000,4,"物理,化学",0,0,0,,,
10004,204,080703,通信工程,广东省,2024,7,12000,4,"物理,化学",0,0,0,,,
10004,205,080601,电气工程及其自动化,广东省,2024,7,5000,4,"物理,化学",0,0,0,,,
10004,206,080901,计算机科学与技术,广东省,2024,5,5500,4,"物理,化学",0,0,0,,,
10004,206,080601,电气工程及其自动化,广东省,2024,3,5500,4,"物理,化学",0,0,0,,,
10004,206,081001,土木工程,广东省,2024,11,4500,4,"物理,化学",0,0,0,,,
10004,207,080901,计算机科学与技术,广东省,2024,2,6500,4,"物理,化学",0,0,0,,,
10004,207,081001,土木工程,广东省,2024,14,12000,4,"物理,化学",0,0,0,,,
10005,201,080601,电气工程及其自动化,广东省,2024,14,8000,4,"物理,化学",0,0,0,,,
10005,202,071101,心理学,广东省,2024,10,6500,4,"物理,化学",0,0,0,,,
10005,202,020301,金融学,广东省,2024,10,5000,4,物理,0,0,0,,,
10005,203,030101,法学,广东省,2024,3,6500,4,物理,0,0,0,,,
10005,203,071101,心理学,广东省,2024,3,12000,4,"物理,化学",0,0,0,,,
10005,204,081001,土木工程,广东省,2024,6,8000,4,"物理,化学",0,0,0,,,
10006,202,080601,电气工程及其自动化,广东省,2024,5,6500,4,"物理,化学",0,0,0,,,
10006,206,070101,数学与应用数学,广东省,2024,11,4500,4,"物理,化学",0,0,0,,,
10006,206,080901,计算机科学与技术,广东省,2024,2,5000,4,"物理,化学",0,0,0,,,
10006,206,100201,临床医学,广东省,2024,4,12000,4,"物理,化学",0,0,1,,,
10007,202,071101,心理学,广东省,2024,11,5500,4,"物理,化学",0,0,0,,,
10007,203,071101,心理学,广东省,2024,10,4500,4,"物理,化学",0,0,0,,,
10007,203,100201,临床医学,广东省,2024,5,12000,4,"物理,化学",0,0,1,,,
10007,204,071101,心理学,广东省,2024,3,6500,4,"物理,化学",0,0,0,,,
10008,204,080901,计算机科学与技术,广东省,2024,12,8000,4,"物理,化学",0,0,0,,,
10008,204,030101,法学,广东省,2024,11,5000,4,物理,0,0,0,,,
10008,205,080601,电气工程及其自动化,广东省,2024,9,5000,4,"物理,化学",0,0,0,,,
10008,205,030101,法学,广东省,2024,9,5500,4,物理,0,0,0,,,
10008,206,080902,软件工程,广东省,2024,12,8000,4,"物理,化学",0,0,0,,,
10010,203,020301,金融学,广东省,2024,4,5000,4,物理,0,0,0,,,
10010,204,120203,会计学,广东省,2024,14,12000,4,物理,0,0,0,,,
10010,204,030101,法学,广东省,2024,12,4500,4,物理,0,0,0,,,
10011,201,071101,心理学,广东省,2024,10,5000,4,"物理,化学",0,0,0,,,
10011,202,070101,数学与应用数学,广东省,2024,7,4500,4,"物理,化学",0,0,0,,,
10011,202,030101,法学,广东省,2024,11,12000,4,物理,0,0,0,,,
10011,202,080901,计算机科学与技术,广东省,2024,2,12000,4,"物理,化学",0,0,0,,,
10012,202,020301,金融学,广东省,2024,5,8000,4,物理,0,0,0,,,
10012,202,080901,计算机科学与技术,广东省,2024,13,8000,4,"物理,化学",0,0,0,,,
10012,203,080201,机械工程,广东省,2024,14,4500,4,"物理,化学",0,0,0,,,
10012,203,030101,法学,广东省,2024,8,8000,4,物理,0,0,0,,,
10012,203,080601,电气工程及其自动化,广东省,2024,14,5500,4,"物理,化学",0,0,0,,,
10013,201,120203,会计学,广东省,2024,6,5500,4,物理,0,0,0,,,
10013,201,080902,软件工程,广东省,2024,5,12000,4,"物理,化学",0,0,0,,,
10013,202,100201,临床医学,广东省,2024,2,4500,4,"物理,化学",0,0,1,,,
10013,202,070101,数学与应用数学,广东省,2024,9,6500,4,"物理,化学",0,0,0,,,
10013,202,030101,法学,广东省,2024,3,6500,4,物理,0,0,0,,,
10015,202,070101,数学与应用数学,广东省,2024,14,6500,4,"物理,化学",0,0,0,,,
10015,202,030101,法学,广东省,2024,6,6500,4,物理,0,0,0,,,
10015,202,081001,土木工程,广东省,2024,11,5500,4,"物理,化学",0,0,0,,,
10015,203,080201,机械工程,广东省,2024,7,8000,4,"物理,化学",0,0,0,,,
10015,203,080902,软件工程,广东省,2024,6,5000,4,"物理,化学",0,0,0,,,
10016,201,100201,临床医学,广东省,2024,13,12000,4,"物理,化学",0,0,1,,,
10016,201,030101,法学,广东省,2024,10,5500,4,物理,0,0,0,,,
10016,201,080601,电气工程及其自动化,广东省,2024,7,5500,4,"物理,化学",0,0,0,,,
10016,202,070101,数学与应用数学,广东省,2024,2,5000,4,"物理,化学",0,0,0,,,
10016,203,030101,法学,广东省,2024,3,5000,4,物理,0,0,0,,,
10017,201,080201,机械工程,广东省,2024,10,5000,4,"物理,化学",0,0,0,,,
10017,201,080902,软件工程,广东省,2024,13,5000,4,"物理,化学",0,0,0,,,
