school_code,major_code,major_name,major_group_code,province,year,min_admission_score,min_admission_rank,avg_score,max_score,plan_count,admission_count,subject_requirement,adjustment_rule
10001,080201,机械工程,203,广东省,2020,686,1975,708,723,13,12,"物理,化学",
10001,070101,数学与应用数学,203,广东省,2020,686,2023,702,716,5,4,物理,
10001,071101,心理学,203,广东省,2020,689,416,704,723,15,14,物理,
10002,030101,法学,202,广东省,2020,665,199,670,685,24,25,物理,
10002,080703,通信工程,202,广东省,2020,663,1258,679,697,16,14,"物理,化学",
10002,120203,会计学,202,广东省,2020,660,3087,670,677,25,26,物理,
10002,080902,软件工程,203,广东省,2020,668,206,673,693,27,27,"物理,化学",
10002,080703,通信工程,203,广东省,2020,665,2327,686,704,7,6,"物理,化学",
10002,030101,法学,203,广东省,2020,667,1189,678,698,11,12,物理,
10003,080703,通信工程,202,广东省,2020,694,1,717,728,29,30,"物理,化学",
10003,080201,机械工程,202,广东省,2020,694,1,701,709,26,24,"物理,化学",
10003,120203,会计学,202,广东省,2020,692,1,707,730,13,13,物理,
10003,080703,通信工程,203,广东省,2020,687,927,693,701,26,24,"物理,化学",
10003,080601,电气工程及其自动化,203,广东省,2020,689,1,707,722,27,27,"物理,化学",
10003,080201,机械工程,203,广东省,2020,691,1,709,729,29,28,"物理,化学",
10004,080201,机械工程,"院
202",广东省,2020,593,26621,612,622,20,20,"物理,化学",
10004,030101,法学,"院
202",广东省,2020,597,24354,610,627,22,24,物理,
10004,120203,会计学,"院
202",广东省,2020,590,28179,596,616,12,10,物理,
10004,070101,数学与应用数学,204,广东省,2020,612,15211,618,631,2,4,物理,
10004,120203,会计学,204,广东省,2020,612,15261,632,646,20,19,物理,
10004,080201,机械工程,204,广东省,2020,618,11478,637,644,29,27,"物理,化学",
10004,080201,机械工程,205,广东省,2020,605,19092,619,624,14,14,"物理,化学",
10004,100201,临床医学,205,广东省,2020,604,19690,624,648,24,22,"物理,化学",
10004,120203,会计学,205,广东省,2020,605,18817,610,623,14,15,物理,
10004,080601,电气工程及其自动化,206,广东省,2020,601,21008,619,628,9,10,"物理,化学",
10004,080201,机械工程,206,广东省,2020,608,17223,613,625,27,27,"物理,化学",
10004,080901,计算机科学与技术,206,广东省,2020,601,20999,621,642,23,21,"物理,化学",
10004,080703,通信工程,207,广东省,2020,623,10594,642,660,29,30,"物理,化学",
10004,020301,金融学,207,广东省,2020,629,7183,640,661,14,16,物理,
10004,080901,计算机科学与技术,207,广东省,2020,627,8698,635,659,20,22,"物理,化学",
10005,081001,土木工程,201,广东省,2020,610,15908,624,642,28,29,"物理,化学",
10005,080703,通信工程,201,广东省,2020,613,14591,629,652,18,19,"物理,化学",
10005,080201,机械工程,201,广东省,2020,611,15562,629,648,18,20,"物理,化学",
10005,080201,机械工程,202,广东省,2020,595,24488,605,618,6,6,"物理,化学",
10005,080902,软件工程,202,广东省,2020,599,22241,621,642,21,22,"物理,化学",
10005,100201,临床医学,202,广东省,2020,601,20817,622,636,23,25,"物理,化学",
10005,070101,数学与应用数学,203,广东省,2020,616,13369,627,647,17,18,物理,
10005,030101,法学,203,广东省,2020,620,10897,641,660,20,18,物理,
10005,120203,会计学,203,广东省,2020,620,10927,644,663,22,22,物理,
10005,120203,会计学,204,广东省,2020,613,14220,625,633,17,18,物理,
10005,100201,临床医学,204,广东省,2020,613,14413,636,646,27,27,"物理,化学",
10005,030101,法学,204,广东省,2020,613,14219,629,642,3,3,物理,
10006,080601,电气工程及其自动化,202,广东省,2020,657,2127,668,686,18,17,"物理,化学",
10006,080703,通信工程,202,广东省,2020,652,4790,675,690,26,26,"物理,化学",
10006,030101,法学,202,广东省,2020,657,1809,666,683,5,3,物理,
