score,segment_count,cumulative_count,rank,percentile,province,year,subject_type,total_exam_count,batch_line
670,31,31,31,0.00010701278975438839,广东省,2023,历史类,289685,433
669,4,35,35,0.00012082089165818044,广东省,2023,历史类,289685,433
668,4,39,39,0.0001346289935619725,广东省,2023,历史类,289685,433
667,8,47,47,0.0001622451973695566,广东省,2023,历史类,289685,433
666,7,54,54,0.0001864093757011927,广东省,2023,历史类,289685,433
665,6,60,60,0.00020712152855688074,广东省,2023,历史类,289685,433
664,5,65,65,0.0002243816559366208,广东省,2023,历史类,289685,433
663,5,70,70,0.00024164178331636087,广东省,2023,历史类,289685,433
662,4,74,74,0.0002554498852201529,广东省,2023,历史类,289685,433
661,7,81,81,0.000279614063551789,广东省,2023,历史类,289685,433
660,7,88,88,0.0003037782418834251,广东省,2023,历史类,289685,433
659,10,98,98,0.00033829849664290525,广东省,2023,历史类,289685,433
658,12,110,110,0.00037972280235428136,广东省,2023,历史类,289685,433
657,6,116,116,0.00040043495520996947,广东省,2023,历史类,289685,433
656,7,123,123,0.0004245991335416055,广东省,2023,历史类,289685,433
655,13,136,136,0.0004694754647289297,广东省,2023,历史类,289685,433
654,11,147,147,0.0005074477449643578,广东省,2023,历史类,289685,433
653,16,163,163,0.000562680152579526,广东省,2023,历史类,289685,433
652,10,173,173,0.0005972004073390062,广东省,2023,历史类,289685,433
651,23,196,196,0.0006765969932858105,广东省,2023,历史类,289685,433
650,20,216,216,0.0007456375028047707,广东省,2023,历史类,289685,433
649,22,238,238,0.000821582063275627,广东省,2023,历史类,289685,433
648,17,255,255,0.0008802664963667432,广东省,2023,历史类,289685,433
647,16,271,271,0.0009354989039819113,广东省,2023,历史类,289685,433
646,32,303,303,0.0010459637192122477,广东省,2023,历史类,289685,433
645,30,333,333,0.001149524483490688,广东省,2023,历史类,289685,433
644,25,358,358,0.0012358251203893884,广东省,2023,历史类,289685,433
643,18,376,376,0.0012979615789564527,广东省,2023,历史类,289685,433
642,36,412,412,0.0014222344960905812,广东省,2023,历史类,289685,433
641,29,441,441,0.0015223432348930735,广东省,2023,历史类,289685,433
640,42,483,483,0.00166732830488289,广东省,2023,历史类,289685,433
639,28,511,511,0.0017639850182094344,广东省,2023,历史类,289685,433
638,33,544,544,0.001877901858915719,广东省,2023,历史类,289685,433
637,23,567,567,0.0019572984448625232,广东省,2023,历史类,289685,433
636,40,607,607,0.0020953794639004437,广东省,2023,历史类,289685,433
635,22,629,629,0.0021713240243712998,广东省,2023,历史类,289685,433
634,35,664,664,0.0022921449160294804,广东省,2023,历史类,289685,433
633,47,711,711,0.002454390113399037,广东省,2023,历史类,289685,433
632,53,764,764,0.0026373474636242817,广东省,2023,历史类,289685,433
631,37,801,801,0.002765072406234358,广东省,2023,历史类,289685,433
630,49,850,850,0.0029342216545558105,广东省,2023,历史类,289685,433
629,41,891,891,0.0030757546990696793,广东省,2023,历史类,289685,433
628,49,940,940,0.0032449039473911316,广东省,2023,历史类,289685,433
627,50,990,990,0.0034175052211885323,广东省,2023,历史类,289685,433
626,51,1041,1041,0.003593558520461881,广东省,2023,历史类,289685,433
625,49,1090,1090,0.0037627077687833336,广东省,2023,历史类,289685,433
624,46,1136,1136,0.003921500940676942,广东省,2023,历史类,289685,433
623,62,1198,1198,0.004135526520185719,广东省,2023,历史类,289685,433
622,64,1262,1262,0.004356456150646392,广东省,2023,历史类,289685,433
621,72,1334,1334,0.004605001984914649,广东省,2023,历史类,289685,433
