score,segment_count,cumulative_count,rank,percentile,province,year,subject_type,total_exam_count,batch_line
700,27.0,27,27,6.609304431905805e-05,广东省,2023,物理类,408515,439
699,8.0,35,35,8.567616856174191e-05,广东省,2023,物理类,408515,439
698,4.0,39,39,9.546773068308383e-05,广东省,2023,物理类,408515,439
697,6.0,45,45,0.000110155073865,广东省,2023,物理类,408515,439
696,12.0,57,57,0.0001395297602291,广东省,2023,物理类,408515,439
695,14.0,71,71,0.0001738002276538,广东省,2023,物理类,408515,439
694,14.0,85,85,0.0002080706950785,广东省,2023,物理类,408515,439
693,11.0,96,96,0.0002349974909122,广东省,2023,物理类,408515,439
692,15.0,111,111,0.0002717158488672,广东省,2023,物理类,408515,439
691,13.0,124,124,0.0003035384257615,广东省,2023,物理类,408515,439
690,18.0,142,142,0.0003476004553076,广东省,2023,物理类,408515,439
689,19.0,161,161,0.000394110375384,广东省,2023,物理类,408515,439
688,20.0,181,181,0.0004430681859907,广东省,2023,物理类,408515,439
687,19.0,200,200,0.000489578106067,广东省,2023,物理类,408515,439
686,27.0,227,227,0.0005556711503861,广东省,2023,物理类,408515,439
685,27.0,254,254,0.0006217641947052,广东省,2023,物理类,408515,439
684,38.0,292,292,0.0007147840348579,广东省,2023,物理类,408515,439
683,42.0,334,334,0.000817595437132,广东省,2023,物理类,408515,439
682,28.0,362,362,0.0008861363719814,广东省,2023,物理类,408515,439
681,40.0,402,402,0.0009840519931948,广东省,2023,物理类,408515,439
680,50.0,452,452,0.0011064465197116,广东省,2023,物理类,408515,439
679,38.0,490,490,0.0011994663598643,广东省,2023,物理类,408515,439
678,43.0,533,533,0.0013047256526688,广东省,2023,物理类,408515,439
677,61.0,594,594,0.0014540469750192,广东省,2023,物理类,408515,439
676,48.0,642,642,0.0015715457204753,广东省,2023,物理类,408515,439
675,65.0,707,707,0.0017306586049471,广东省,2023,物理类,408515,439
674,74.0,781,781,0.001911802504192,广东省,2023,物理类,408515,439
673,55.0,836,836,0.0020464364833604,广东省,2023,物理类,408515,439
672,75.0,911,911,0.0022300282731356,广东省,2023,物理类,408515,439
671,73.0,984,984,0.0024087242818501,广东省,2023,物理类,408515,439
670,83.0,1067,1067,0.0026118991958679,广东省,2023,物理类,408515,439
669,90.0,1157,1157,0.0028322093435981,广东省,2023,物理类,408515,439
668,84.0,1241,1241,0.0030378321481463,广东省,2023,物理类,408515,439
667,112.0,1353,1353,0.0033119958875439,广东省,2023,物理类,408515,439
666,111.0,1464,1464,0.0035837117364111,广东省,2023,物理类,408515,439
665,98.0,1562,1562,0.003823605008384,广东省,2023,物理类,408515,439
664,93.0,1655,1655,0.0040512588277052,广东省,2023,物理类,408515,439
663,126.0,1781,1781,0.0043596930345274,广东省,2023,物理类,408515,439
