score,segment_count,cumulative_count,rank,percentile,province,year,subject_type,total_exam_count,batch_line
665,20,20,20,7.434280956345902e-05,广东省,2024,历史类,269024,428
664,3,23,23,8.549423099797787e-05,广东省,2024,历史类,269024,428
663,6,29,29,0.00010779707386701558,广东省,2024,历史类,269024,428
662,6,35,35,0.00013009991673605328,广东省,2024,历史类,269024,428
661,5,40,40,0.00014868561912691804,广东省,2024,历史类,269024,428
660,6,46,46,0.00017098846199595574,广东省,2024,历史类,269024,428
659,7,53,53,0.0001970084453431664,广东省,2024,历史类,269024,428
658,3,56,56,0.00020815986677768527,广东省,2024,历史类,269024,428
657,9,65,65,0.00024161413108124183,广东省,2024,历史类,269024,428
656,11,76,76,0.0002825026763411443,广东省,2024,历史类,269024,428
655,11,87,87,0.0003233912216010467,广东省,2024,历史类,269024,428
654,14,101,101,0.00037543118829546805,广东省,2024,历史类,269024,428
653,6,107,107,0.0003977340311645058,广东省,2024,历史类,269024,428
652,11,118,118,0.0004386225764244082,广东省,2024,历史类,269024,428
651,9,127,127,0.00047207684072796477,广东省,2024,历史类,269024,428
650,13,140,140,0.0005203996669442131,广东省,2024,历史类,269024,428
649,9,149,149,0.0005538539312477697,广东省,2024,历史类,269024,428
648,13,162,162,0.0006021767574640181,广东省,2024,历史类,269024,428
647,14,176,176,0.0006542167241584394,广东省,2024,历史类,269024,428
646,10,186,186,0.0006913881289401689,广东省,2024,历史类,269024,428
645,17,203,203,0.0007545795170691091,广东省,2024,历史类,269024,428
644,20,223,223,0.0008289223266325681,广东省,2024,历史类,269024,428
643,17,240,240,0.0008921137147615083,广东省,2024,历史类,269024,428
642,4,244,244,0.0009069822766742001,广东省,2024,历史类,269024,428
641,12,256,256,0.0009515879624122755,广东省,2024,历史类,269024,428
640,24,280,280,0.0010407993338884263,广东省,2024,历史类,269024,428
639,22,302,302,0.0011225764244082311,广东省,2024,历史类,269024,428
638,29,331,331,0.001230373498275247,广东省,2024,历史类,269024,428
637,29,360,360,0.0013381705721422625,广东省,2024,历史类,269024,428
636,25,385,385,0.0014310990840965862,广东省,2024,历史类,269024,428
635,24,409,409,0.001520310455572737,广东省,2024,历史类,269024,428
634,33,442,442,0.0016429760913524445,广东省,2024,历史类,269024,428
633,36,478,478,0.0017767931485666707,广东省,2024,历史类,269024,428
632,29,507,507,0.0018845902224336863,广东省,2024,历史类,269024,428
631,41,548,548,0.002036992982038777,广东省,2024,历史类,269024,428
630,45,593,593,0.00220426430355656,广东省,2024,历史类,269024,428
629,37,630,630,0.0023417985012489594,广东省,2024,历史类,269024,428
628,49,679,679,0.002523938384679434,广东省,2024,历史类,269024,428
