score,segment_count,cumulative_count,rank,percentile,province,year,subject_type,total_exam_count,batch_line
695,31,31,31,6.874208634449542e-05,广东省,2024,物理类,450961,442
694,10,41,41,9.091695290723587e-05,广东省,2024,物理类,450961,442
693,6,47,47,0.00010422187284488016,广东省,2024,物理类,450961,442
692,9,56,56,0.00012417925275134658,广东省,2024,物理类,450961,442
691,6,62,62,0.00013748417268899085,广东省,2024,物理类,450961,442
690,11,73,73,0.00016187652590800536,广东省,2024,物理类,450961,442
689,12,85,85,0.0001884863657832939,广东省,2024,物理类,450961,442
688,15,100,100,0.00022174866562740459,广东省,2024,物理类,450961,442
687,14,114,114,0.0002527934788152412,广东省,2024,物理类,450961,442
686,12,126,126,0.00027940331869052976,广东省,2024,物理类,450961,442
685,12,138,138,0.00030601315856581835,广东省,2024,物理类,450961,442
684,15,153,153,0.00033927545840992904,广东省,2024,物理类,450961,442
683,15,168,168,0.00037253775825403973,广东省,2024,物理类,450961,442
682,28,196,196,0.000434627384629713,广东省,2024,物理类,450961,442
681,14,210,210,0.00046567219781754965,广东省,2024,物理类,450961,442
680,35,245,245,0.0005432842307871412,广东省,2024,物理类,450961,442
679,27,272,272,0.0006031563705065405,广东省,2024,物理类,450961,442
678,23,295,295,0.0006541585636008436,广东省,2024,物理类,450961,442
677,44,339,339,0.0007517279764769015,广东省,2024,物理类,450961,442
676,38,377,377,0.0008359924694153152,广东省,2024,物理类,450961,442
675,51,428,428,0.0009490842888852917,广东省,2024,物理类,450961,442
674,52,480,480,0.001064393595011542,广东省,2024,物理类,450961,442
673,51,531,531,0.0011774854144815184,广东省,2024,物理类,450961,442
672,59,590,590,0.0013083171272016871,广东省,2024,物理类,450961,442
671,44,634,634,0.0014058865400777452,广东省,2024,物理类,450961,442
670,60,694,694,0.001538935739454188,广东省,2024,物理类,450961,442
669,65,759,759,0.0016830723721120008,广东省,2024,物理类,450961,442
668,64,823,823,0.0018249915181135397,广东省,2024,物理类,450961,442
667,78,901,901,0.001997955477302915,广东省,2024,物理类,450961,442
666,81,982,982,0.002177571896461113,广东省,2024,物理类,450961,442
665,74,1056,1056,0.0023416659090253924,广东省,2024,物理类,450961,442
664,85,1141,1141,0.002530152274808686,广东省,2024,物理类,450961,442
663,87,1228,1228,0.0027230736139045282,广东省,2024,物理类,450961,442
662,96,1324,1324,0.0029359523329068366,广东省,2024,物理类,450961,442
661,105,1429,1429,0.0031687884318156116,广东省,2024,物理类,450961,442
660,116,1545,1545,0.0034260168839434007,广东省,2024,物理类,450961,442
659,112,1657,1657,0.003674375389446094,广东省,2024,物理类,450961,442
658,99,1756,1756,0.0038939065684172247,广东省,2024,物理类,450961,442
657,118,1874,1874,0.004155569993857562,广东省,2024,物理类,450961,442
656,125,1999,1999,0.004432755825891818,广东省,2024,物理类,450961,442
655,138,2137,2137,0.004738768984457636,广东省,2024,物理类,450961,442
654,131,2268,2268,0.005029259736429536,广东省,2024,物理类,450961,442
653,142,2410,2410,0.005344142841620451,广东省,2024,物理类,450961,442
652,145,2555,2555,0.005665678406780187,广东省,2024,物理类,450961,442
651,146,2701,2701,0.005989431458596198,广东省,2024,物理类,450961,442
650,151,2852,2852,0.006324271943693579,广东省,2024,物理类,450961,442
649,162,3014,3014,0.006683504782009974,广东省,2024,物理类,450961,442
648,162,3176,3176,0.00704273762032637,广东省,2024,物理类,450961,442
647,193,3369,3369,0.00747071254498726,广东省,2024,物理类,450961,442
646,205,3574,3574,0.00792529730952344,广东省,2024,物理类,450961,442
645,203,3777,3777,0.008375447100747072,广东省,2024,物理类,450961,442
644,205,3982,3982,0.00883003186528325,广东省,2024,物理类,450961,442
643,211,4193,4193,0.009297921549757074,广东省,2024,物理类,450961,442
642,233,4426,4426,0.009814595940668927,广东省,2024,物理类,450961,442
641,251,4677,4677,0.010371185091393712,广东省,2024,物理类,450961,442
640,271,4948,4948,0.01097212397524398,广东省,2024,物理类,450961,442
639,249,5197,5197,0.011524278152656216,广东省,2024,物理类,450961,442
638,257,5454,5454,0.012094172223318647,广东省,2024,物理类,450961,442
637,262,5716,5716,0.012675153727262446,广东省,2024,物理类,450961,442
636,244,5960,5960,0.013216220471393314,广东省,2024,物理类,450961,442
635,257,6217,6217,0.013786114542055743,广东省,2024,物理类,450961,442
634,265,6482,6482,0.014373748505968365,广东省,2024,物理类,450961,442
633,275,6757,6757,0.014983557336443729,广东省,2024,物理类,450961,442
632,305,7062,7062,0.01565989076660731,广东省,2024,物理类,450961,442
631,293,7355,7355,0.016309614356895607,广东省,2024,物理类,450961,442
630,313,7668,7668,0.017003687680309385,广东省,2024,物理类,450961,442
629,320,7988,7988,0.01771328341031708,广东省,2024,物理类,450961,442
628,325,8313,8313,0.018433966573606145,广东省,2024,物理类,450961,442
627,362,8675,8675,0.019236696743177347,广东省,2024,物理类,450961,442
626,379,9054,9054,0.02007712418590521,广东省,2024,物理类,450961,442
625,352,9406,9406,0.020857679488913674,广东省,2024,物理类,450961,442
624,357,9763,9763,0.02164932222520351,广东省,2024,物理类,450961,442
623,380,10143,10143,0.022491967154587646,广东省,2024,物理类,450961,442
622,388,10531,10531,0.023352351977221977,广东省,2024,物理类,450961,442
621,408,10939,10939,0.024257086532981788,广东省,2024,物理类,450961,442
620,412,11351,11351,0.025170691035366694,广东省,2024,物理类,450961,442
619,456,11807,11807,0.02618186495062766,广东省,2024,物理类,450961,442
618,424,12231,12231,0.027122079292887857,广东省,2024,物理类,450961,442
617,450,12681,12681,0.028119948288211176,广东省,2024,物理类,450961,442
616,475,13156,13156,0.029173254449941347,广东省,2024,物理类,450961,442
615,508,13664,13664,0.030299737671328562,广东省,2024,物理类,450961,442
614,497,14161,14161,0.031401828539496766,广东省,2024,物理类,450961,442
613,524,14685,14685,0.03256379154738436,广东省,2024,物理类,450961,442
612,529,15214,15214,0.03373684198855333,广东省,2024,物理类,450961,442
611,509,15723,15723,0.03486554269659682,广东省,2024,物理类,450961,442
610,539,16262,16262,0.03606076800432853,广东省,2024,物理类,450961,442
609,558,16820,16820,0.03729812555852945,广东省,2024,物理类,450961,442
